caption,Nama Tempat,Alamat,Jam Operasional,Kota,Akun Instagram,Jam Buka,Jam Tutup,Is 24H,Is Overnight,Kategori Tempat,Kategori Multilabel List,Kategori Multilabel
"Seriussn waktu itu pas lewat kirain gedung nikahan ternyata COFFEE SHOP luas banget buka 24 jam! Nggak cuma bangunannya aja yang gede tapi juga area parkirnya luas.

Pilihan tempat duduknya banyak bisa kalian pilih sesuai kebutuhan, ada area duduk tipe sofa rendah bersandar ada juga area duduk ergonomis yang cocok buat nugas/WFC.

Menunya banyak pilihan dan harganya bisa dibilang masih terjangkau, latte/cappuccino 18rb, magic 20rb, dirty 22rb, es kopi susu 21rb aja!

Dah langsung gassss!!

Lyon’s Cafe & Coworking Space @lyonscafe.co 
07:00 ——— 01:00
Jl. Nyi Tjondrolukito No 82, Kutu Dukuh, Sinduadi, Mlati, Sleman, Yogyakarta (Jl. Monjali)

#coffeeshopjogja #jogjacoffeeshop #coffeeshopbarujogja",Lyon’s Cafe & Coworking Space,"Jl. Nyi Tjondrolukito No 82, Kutu Dukuh, Sinduadi, Mlati, Sleman, Yogyakarta (Jl. Monjali)",24 Jam,Sleman,@lyonscafe.co,00:00,23:59,True,False,Ngopi Santai,"['Ngopi Santai', 'WFC Nyaman']","Ngopi Santai, WFC Nyaman"
"Seriusan coffee shop baru 24 jam dari Bandung ini tempatnya asik bangett!! 

Selain asik juga menu-menunya yang kami coba nggak ada yang gagal. Es kopi susunya creamy & balance, nasi goreng hongkongnya umami dan smokey, wok heinya kerasa banget!

Nggak cuma disitu aja, tempatnya luas, area parkirnya luas, ada indoor nyaman buat nugas/WFC dan outdoor yang super seru buat nongkrong sambil nikmatin vibes ijo-ijo sawah dan angin sepoi-sepoi ✨👌🏻

Gas langsung datengin aja ya!

Beri Kopi Jogja @berikopi.jogja 
24 Jam
Dero, Condongcatur, Sleman, Yogyakarta 

#coffeeshopjogja #jogjacoffeeshop #coffeeshop24jamjogja",Beri Kopi Jogja,"Dero, Condongcatur, Sleman, Yogyakarta",24 Jam,Sleman,@berikopi.jogja,00:00,23:59,True,False,Ngopi Santai,"['Ngopi Santai', 'Area Lengkap']","Ngopi Santai, Area Lengkap"
"Baru di Jogja - Artisan bakery & coffee estetik lucu di Kranggan 😍✨

Akhir tahun lalu-awal tahun ini banyak banget list tempat baru yang bisa kalian datengin, salah satunya @elder.onthetable yang belum lama buka di Kranggan!

Jadi ini tu sister brand dari @elderpatisserie yang konsepnya gabungin open bakery kitchen, slow bar experience dan suasana rumah yang homey. Vibesnya beneran bikin betah.

Semua produk pastry, cake dan rotinya fresh setiap hari karena jadi satu sama central kitchennya, pantesan pas masuk aroma french butternya kerasa banget 🤤

Buat kopinya kemarin nyobain dirty lattenya yang sangat sopan pas diminum soft banget.

Menarik kan? Ada kopi, fresh pastry & cake, estetik, homey dan ada di tengah kota!

Dah langsung agendain aja ya!

Elder On The Table - EOTB @elder.onthetable
07:00 ——— 22:00
Jl. Kranggan, Jetis, Yogyakarta

#coffeeshopjogja #jogjacoffeeshop #elderonthetable",Elder On The Table - EOTB,"Jl. Kranggan, Jetis, Yogyakarta",07:00 - 22:00,Yogyakarta,"@elder.onthetable, @elderpatisserie",07:00,22:00,False,False,Ngopi Santai,['Ngopi Santai'],Ngopi Santai
"Cold ‘N Brew baru aja buka cabangnya di Malioboro!

Buka 24 jam, tempatnya luas, nggak cuma bangunannya aja tapi juga area parkirnya luas, jadi nggak bingung cari parkir walaupun di tengah kota. Selain itu ada juga meeting room dan smoking room ac ya!

Seperti cabang lainnya @coldnbrew Malioboro ini enak banget buat nugas/WFC, ac adem, banyak seating area dan pilihan menunya banyak!

Cold ‘N Brew Malioboro @coldnbrew
24 Jam
Jl. Mataram, Yogyakarta

#coldnbrewmalioboro #coldnbrew #coldnbrewjogja #coffeeshopjogja #jogjacoffeeshop",Seperti cabang lainnya,"Jl. Mataram, Yogyakarta",24 Jam,Yogyakarta,@coldnbrew,00:00,23:59,True,False,Area Lengkap,['Area Lengkap'],Area Lengkap
"Baru lagi di Jogja! Coffee & dining artistik aesthetic deket titik nol!

Siapa yang nyangka ternyata di padatnya tengah kota Jogja hadir lagi coffee shop & dining dengan bangunan luas, megah dan konsep yang sangat out of the box ini 😍

Nama tempatnya @waktuluang.deloji yang lokasi tepatnya ada di selatan perempatan Gondomanan (barat jalan), pas sampai lokasinya kalian yang udah sering banget lewat Gondomanan pasti langsung ngeh sama bangunannya.

Selain konsepnya yang artistik beda dari yang lain, untuk menu-menunya mereka ngga main-main guys, kemarin nyobain mont blanc yang lagi rame dicari dan enak! Serius!

Menu makanannya pun sangat proper ya karen emang konsepnya dining. Kemarin buat makanannya nyobain Bistik Daging Londo dan Kerupuk Banjoer Kampung Gondomanan yang unik! 

Oh iya selain itu tempatnya juga luas dengan banyak area duduk, ada juga gift shop di lantai 1 dengan service yang excellent!

Dah langsung datengin aja ya!

Waktu Luang De Loji @waktuluang.deloji 
10:00 ——— 22:00
Jl. Panembahan Senopati, Prawirodirjan, Kec. Gondomanan, Yogyakarta

#coffeeshopjogja #jogjacoffeeshop #cafejogja #restojogja",Waktu Luang De Loji,"Jl. Panembahan Senopati, Prawirodirjan, Kec. Gondomanan, Yogyakarta",10:00 - 22:00,Yogyakarta,@waktuluang.deloji,10:00,22:00,False,False,Ngopi Santai,['Ngopi Santai'],Ngopi Santai
"Suka banget sama konsep coffee shop baru di Jogja ini, mereka tu nyulap rumah indis bangunan tua jadi super aesthetic, homey dan comfy. Konsepnya sih kayaknya mengarah ke Japanese Modern Minimalist gitu dengan ornamennya yang nyatu banget sama tempatnya.

Selain itu menu-menu beverages yang kami coba enak semua! Mereka juga ada jajan pasar ya!

Udah pada kesini?

Rakku Coffee @rakkucoffee 
07:00 ——— 24:00
Jl. F.M. Noto No.17, Kotabaru, Kec. Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta

#coffeeshopjogja #jogjacoffeeshop #coffeeshopbarujogja",Rakku Coffee,"Jl. F.M. Noto No.17, Kotabaru, Kec. Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta",07:00 - 24:00,Yogyakarta,@rakkucoffee,07:00,23:59,False,False,Menu Variatif,"['Menu Variatif', 'Area Lengkap']","Menu Variatif, Area Lengkap"
"Siapa yang baru tau kalau di deket Sanata Dharma ada cake shop secakep & selucu ini? ✨😍

Nama tempatnya @cheesecake.expert, buat yang belum tau ini tu brand cake shop yang udah cukup lama ada di Jogja dan udah ada beberapa cabang, selain di Jogja mereka juga ada cabang lain di Semarang & Jakarta.

Nah yang di deket Sanata Dharma ini mereka belum lama renov dan akan reopening tanggal 14 Januari nanti. Oh iya buat kalian yang mau beli bunga juga bisa ya, karena ada florist juga di satu tempat yang sama.

Menunya sangat-sangat tempting! Kemarin nyobain Nutella Cheese and Crepe Combo Drink (ini memu bundle gitu udah dapet cake di atas minumnya, unik banget), terus ada Japanese Matcha Burnt Cheesecake yang nagih dan terakhir nyobain Lychee n Vanilla Mix n Cheese yang super moist.

Kalau lagi suka atau cari yang manis-manis buruan kesini! Mana cakep banget tempatnya ❤️

Cheesecake Expert @cheesecake.expert
09:00 ——— 21:00
Jl. STM Pembangunan No.4, Santren, Caturtunggal, Sleman, Yogyakarta (outlet Gejayan)",Cheesecake Expert,"Jl. STM Pembangunan No.4, Santren, Caturtunggal, Sleman, Yogyakarta (outlet Gejayan)",09:00 - 21:00,Sleman,@cheesecake.expert,09:00,21:00,False,False,Area Lengkap,['Area Lengkap'],Area Lengkap
"Kalau kalian lagi di area Malioboro atau yang baru sampai di stasiun tugu dan pengen ngopi + makan pastry enak coffee shop baru satu ini bisa kalian coba ya!

Kemarin kami singgah sebentar dan nyobain beberapa menunya, mulai dari hot cappucino, matcha series dan es kopi susunya menarik! Apalagi pas nyobain cheese twist pastrynya, beneran bikin pengen lagi sampai sekarang, ini tu bukan tipical pastry yang umum dijumpai di coffee shop Jogja, lebih crunchy dan nggak bikin eneg! 

Tempatnya ngga begitu luas tapi cukup nyaman buat sekedar singgah, ngelarin kerjaan bentar atau ya sekedar ngopi aja.

8 Degree Coffee Malioboro
09:00 ——— 22:00
Jl. Gandekan Lor, Gedong Tengen, Yogyakarta

#coffeeshopjogja #jogjacoffeeshop #coffeeshopbarujogja",8 Degree Coffee Malioboro,"Jl. Gandekan Lor, Gedong Tengen, Yogyakarta",09:00 - 22:00,Yogyakarta,,09:00,22:00,False,False,Ngopi Santai,['Ngopi Santai'],Ngopi Santai
"Seruu banget ngopi pagi, ngemil jajan pasar sambil enjoy vibe khasnya Jl. P. Mangkubumi!

Seriusan asik banget cabang terbarunya Cosan satu ini. Selain bawa bar tap pertama di Jogja ada juga jajan pasar by @tokomono_ yang ternyata cocok-cocok aja dipairing sama kopi.

Cek detailnya di carousel post ya! Oh iya btw ini beda lagi ya sama yang Cosan Reserve 🙌🏻

Cosan Malioboro @cosan.idn
07:00 ——— 03:00
Jl. P. Mangkubumi, Yogyakarta 

#PartnerInEveryMoment  #SelaluCOSAN #TokoMono 
#coffeeshopjogja jogjacoffeeshop",Cosan Malioboro,"Jl. P. Mangkubumi, Yogyakarta",07:00 - 03:00,Yogyakarta,"@cosan.idn, @tokomono_",07:00,03:00,False,True,Area Lengkap,"['Ngopi Santai', 'Area Lengkap']","Ngopi Santai, Area Lengkap"
"Salah satu yang bikin seneng ngopi di Roastery itu bisa milih mau pakai beans apa buat minuman yang kita pesen. 
Selain itu juga bisa lebih ada interaksi dengan barista ngobrolin ngalor ngidul soal perkopian.

Nah hal itu yang beberapa waktu lalu kami temui di salah satu roastery baru di Jogja yang vibesnya homey banget. Nama tempatnya @168roaststudio yang tersembunyi di rimbunnya daerah Pringwulung.

Buat yang lagi suka dirty latte dan bingung mau nyoba yang versi Jepang atau Thailand, mereka punya keduanya ya!

Mereka juga ada promo ngopi pagi black 15K dan white 18K. Dah langsung datengin aja ya!

168 Roast Studio @168roaststudio 
08:00 ——— 22:00
Jl. Tantular, Pringwulung, Condongcatur, Depok, Sleman, Yogyakarta 

#coffeeshopjogja #jogjacoffeeshop #roasteryjogja",168 Roast Studio,"Jl. Tantular, Pringwulung, Condongcatur, Depok, Sleman, Yogyakarta",08:00 - 22:00,Sleman,@168roaststudio,08:00,22:00,False,False,Ngopi Santai,['Ngopi Santai'],Ngopi Santai
