caption,caption_norm,nama_tempat,jam_operasional,alamat,kota,akun_instagram,open_time,close_time,is_24h,is_overnight,menu_category,function_category
"Seriussn waktu itu pas lewat kirain gedung nikahan ternyata COFFEE SHOP luas banget buka 24 jam! Nggak cuma bangunannya aja yang gede tapi juga area parkirnya luas.

Pilihan tempat duduknya banyak bisa kalian pilih sesuai kebutuhan, ada area duduk tipe sofa rendah bersandar ada juga area duduk ergonomis yang cocok buat nugas/WFC.

Menunya banyak pilihan dan harganya bisa dibilang masih terjangkau, latte/cappuccino 18rb, magic 20rb, dirty 22rb, es kopi susu 21rb aja!

Dah langsung gassss!!

Lyon’s Cafe & Coworking Space @lyonscafe.co 
07:00 ——— 01:00
Jl. Nyi Tjondrolukito No 82, Kutu Dukuh, Sinduadi, Mlati, Sleman, Yogyakarta (Jl. Monjali)

#coffeeshopjogja #jogjacoffeeshop #coffeeshopbarujogja","seriussn waktu itu pas lewat kirain gedung nikahan ternyata coffee shop luas banget buka 24 jam nggak cuma bangunannya aja yang gede tapi juga area parkirnya luas.
pilihan tempat duduknya banyak bisa kalian pilih sesuai kebutuhan, ada area duduk tipe sofa rendah bersandar ada juga area duduk ergonomis yang cocok buat nugas wfc.
menunya banyak pilihan dan harganya bisa dibilang masih terjangkau, latte cappuccino 18rb, magic 20rb, dirty 22rb, es kopi susu 21rb aja 
dah langsung gassss 
lyon s cafe coworking space @lyonscafe.co 
07 00 - 01 00
jl. nyi tjondrolukito no 82, kutu dukuh, sinduadi, mlati, sleman, yogyakarta jl. monjali 
#coffeeshopjogja #jogjacoffeeshop #coffeeshopbarujogja",Lyon’s Cafe & Coworking Space,24 Jam,"Jl. Nyi Tjondrolukito No 82, Kutu Dukuh, Sinduadi, Mlati, Sleman, Yogyakarta (Jl. Monjali)",Sleman,@lyonscafe.co,00:00,23:59,True,False,['kopi'],['wfc']
"Seriusan coffee shop baru 24 jam dari Bandung ini tempatnya asik bangett!! 

Selain asik juga menu-menunya yang kami coba nggak ada yang gagal. Es kopi susunya creamy & balance, nasi goreng hongkongnya umami dan smokey, wok heinya kerasa banget!

Nggak cuma disitu aja, tempatnya luas, area parkirnya luas, ada indoor nyaman buat nugas/WFC dan outdoor yang super seru buat nongkrong sambil nikmatin vibes ijo-ijo sawah dan angin sepoi-sepoi ✨👌🏻

Gas langsung datengin aja ya!

Beri Kopi Jogja @berikopi.jogja 
24 Jam
Dero, Condongcatur, Sleman, Yogyakarta 

#coffeeshopjogja #jogjacoffeeshop #coffeeshop24jamjogja","seriusan coffee shop baru 24 jam dari bandung ini tempatnya asik bangett 
selain asik juga menu-menunya yang kami coba nggak ada yang gagal. es kopi susunya creamy balance, nasi goreng hongkongnya umami dan smokey, wok heinya kerasa banget 
nggak cuma disitu aja, tempatnya luas, area parkirnya luas, ada indoor nyaman buat nugas wfc dan outdoor yang super seru buat nongkrong sambil nikmatin vibes ijo-ijo sawah dan angin sepoi-sepoi 
gas langsung datengin aja ya 
beri kopi jogja @berikopi.jogja 
24 jam
dero, condongcatur, sleman, yogyakarta 
#coffeeshopjogja #jogjacoffeeshop #coffeeshop24jamjogja",Beri Kopi Jogja,24 Jam,"Dero, Condongcatur, Sleman, Yogyakarta",Sleman,@berikopi.jogja,00:00,23:59,True,False,"['kopi', 'makanan']","['wfc', 'hangout', 'dating']"
"Baru di Jogja - Artisan bakery & coffee estetik lucu di Kranggan 😍✨

Akhir tahun lalu-awal tahun ini banyak banget list tempat baru yang bisa kalian datengin, salah satunya @elder.onthetable yang belum lama buka di Kranggan!

Jadi ini tu sister brand dari @elderpatisserie yang konsepnya gabungin open bakery kitchen, slow bar experience dan suasana rumah yang homey. Vibesnya beneran bikin betah.

Semua produk pastry, cake dan rotinya fresh setiap hari karena jadi satu sama central kitchennya, pantesan pas masuk aroma french butternya kerasa banget 🤤

Buat kopinya kemarin nyobain dirty lattenya yang sangat sopan pas diminum soft banget.

Menarik kan? Ada kopi, fresh pastry & cake, estetik, homey dan ada di tengah kota!

Dah langsung agendain aja ya!

Elder On The Table - EOTB @elder.onthetable
07:00 ——— 22:00
Jl. Kranggan, Jetis, Yogyakarta

#coffeeshopjogja #jogjacoffeeshop #elderonthetable","baru di jogja - artisan bakery coffee estetik lucu di kranggan 
akhir tahun lalu-awal tahun ini banyak banget list tempat baru yang bisa kalian datengin, salah satunya @elder.onthetable yang belum lama buka di kranggan 
jadi ini tu sister brand dari @elderpatisserie yang konsepnya gabungin open bakery kitchen, slow bar experience dan suasana rumah yang homey. vibesnya beneran bikin betah.
semua produk pastry, cake dan rotinya fresh setiap hari karena jadi satu sama central kitchennya, pantesan pas masuk aroma french butternya kerasa banget 
buat kopinya kemarin nyobain dirty lattenya yang sangat sopan pas diminum soft banget.
menarik kan ada kopi, fresh pastry cake, estetik, homey dan ada di tengah kota 
dah langsung agendain aja ya 
elder on the table - eotb @elder.onthetable
07 00 - 22 00
jl. kranggan, jetis, yogyakarta
#coffeeshopjogja #jogjacoffeeshop #elderonthetable",Elder On The Table - EOTB,07:00 - 22:00,"Jl. Kranggan, Jetis, Yogyakarta",Yogyakarta,"@elder.onthetable, @elderpatisserie",07:00,22:00,False,False,"['kopi', 'dessert']",['dating']
"Cold ‘N Brew baru aja buka cabangnya di Malioboro!

Buka 24 jam, tempatnya luas, nggak cuma bangunannya aja tapi juga area parkirnya luas, jadi nggak bingung cari parkir walaupun di tengah kota. Selain itu ada juga meeting room dan smoking room ac ya!

Seperti cabang lainnya @coldnbrew Malioboro ini enak banget buat nugas/WFC, ac adem, banyak seating area dan pilihan menunya banyak!

Cold ‘N Brew Malioboro @coldnbrew
24 Jam
Jl. Mataram, Yogyakarta

#coldnbrewmalioboro #coldnbrew #coldnbrewjogja #coffeeshopjogja #jogjacoffeeshop","cold n brew baru aja buka cabangnya di malioboro 
buka 24 jam, tempatnya luas, nggak cuma bangunannya aja tapi juga area parkirnya luas, jadi nggak bingung cari parkir walaupun di tengah kota. selain itu ada juga meeting room dan smoking room ac ya 
seperti cabang lainnya @coldnbrew malioboro ini enak banget buat nugas wfc, ac adem, banyak seating area dan pilihan menunya banyak 
cold n brew malioboro @coldnbrew
24 jam
jl. mataram, yogyakarta
#coldnbrewmalioboro #coldnbrew #coldnbrewjogja #coffeeshopjogja #jogjacoffeeshop",Seperti cabang lainnya,24 Jam,"Jl. Mataram, Yogyakarta",Yogyakarta,@coldnbrew,00:00,23:59,True,False,[],['wfc']
"Baru lagi di Jogja! Coffee & dining artistik aesthetic deket titik nol!

Siapa yang nyangka ternyata di padatnya tengah kota Jogja hadir lagi coffee shop & dining dengan bangunan luas, megah dan konsep yang sangat out of the box ini 😍

Nama tempatnya @waktuluang.deloji yang lokasi tepatnya ada di selatan perempatan Gondomanan (barat jalan), pas sampai lokasinya kalian yang udah sering banget lewat Gondomanan pasti langsung ngeh sama bangunannya.

Selain konsepnya yang artistik beda dari yang lain, untuk menu-menunya mereka ngga main-main guys, kemarin nyobain mont blanc yang lagi rame dicari dan enak! Serius!

Menu makanannya pun sangat proper ya karen emang konsepnya dining. Kemarin buat makanannya nyobain Bistik Daging Londo dan Kerupuk Banjoer Kampung Gondomanan yang unik! 

Oh iya selain itu tempatnya juga luas dengan banyak area duduk, ada juga gift shop di lantai 1 dengan service yang excellent!

Dah langsung datengin aja ya!

Waktu Luang De Loji @waktuluang.deloji 
10:00 ——— 22:00
Jl. Panembahan Senopati, Prawirodirjan, Kec. Gondomanan, Yogyakarta

#coffeeshopjogja #jogjacoffeeshop #cafejogja #restojogja","baru lagi di jogja coffee dining artistik aesthetic deket titik nol 
siapa yang nyangka ternyata di padatnya tengah kota jogja hadir lagi coffee shop dining dengan bangunan luas, megah dan konsep yang sangat out of the box ini 
nama tempatnya @waktuluang.deloji yang lokasi tepatnya ada di selatan perempatan gondomanan barat jalan , pas sampai lokasinya kalian yang udah sering banget lewat gondomanan pasti langsung ngeh sama bangunannya.
selain konsepnya yang artistik beda dari yang lain, untuk menu-menunya mereka ngga main-main guys, kemarin nyobain mont blanc yang lagi rame dicari dan enak serius 
menu makanannya pun sangat proper ya karen emang konsepnya dining. kemarin buat makanannya nyobain bistik daging londo dan kerupuk banjoer kampung gondomanan yang unik 
oh iya selain itu tempatnya juga luas dengan banyak area duduk, ada juga gift shop di lantai 1 dengan service yang excellent 
dah langsung datengin aja ya 
waktu luang de loji @waktuluang.deloji 
10 00 - 22 00
jl. panembahan senopati, prawirodirjan, kec. gondomanan, yogyakarta
#coffeeshopjogja #jogjacoffeeshop #cafejogja #restojogja",Waktu Luang De Loji,10:00 - 22:00,"Jl. Panembahan Senopati, Prawirodirjan, Kec. Gondomanan, Yogyakarta",Yogyakarta,@waktuluang.deloji,10:00,22:00,False,False,['makanan'],['dating']
"Sebagian dari temen-temen pasti udah familiar banget sama coffee shop satu ini kan? Salah satu coffee shop di Jogja yang udah jadi rujukan buat yang pengen ngopi enak yang lokasinya ada di Wijilan. 

Setiap ada yang tanya referensi magic atau dirty latte enak di media sosial pasti banyak banget yang merekomendasikan tempat ini dan ya, kemarin kami nyobain keduanya dan memang tidak diragukan jadi salah satu coffee shop dengan magic dan dirty paling oke yang pernah kami coba. 

Coffee shop kepunyaan mas @efenerr yang juga dikenal sebagai bapak magic Indonesia ini emang nggak main-main soal kopi, untuk beansnya mereka selalu kurasi dan rolling ambil dari berbagai roastery di Indonesia sebagai bentuk saling support dan terakhir mereka baru aja ganti set mesin kopi dari @wendougee.id pendatang baru udah yang tekenal canggih dan tangguh. Grindernya aja cuma butuh 3 detik buat giling 20an gram biji kopi 🤯

Nama tempatnya @wombatscoffee yang dalam waktu-waktu terakhir ini ngasih warna baru perkopian di Jogja khususnya di daerah Wijilan, kalau mungkin umumnya orang tau Wijilan buat nyari gudeg enak sekarang mungkin bertambah jadi Wijilan buat nyari kopi enak 👌🏻

Wombats Coffee Wijilan @wombatscoffee 
06:00 —— 22:00
Jl. Wijilan No.24, Panembahan, Kecamatan Kraton, Kota Yogyakarta

#coffeeshopjogja #jogjacoffeeshop #wombatscoffee","sebagian dari temen-temen pasti udah familiar banget sama coffee shop satu ini kan salah satu coffee shop di jogja yang udah jadi rujukan buat yang pengen ngopi enak yang lokasinya ada di wijilan. 
setiap ada yang tanya referensi magic atau dirty latte enak di media sosial pasti banyak banget yang merekomendasikan tempat ini dan ya, kemarin kami nyobain keduanya dan memang tidak diragukan jadi salah satu coffee shop dengan magic dan dirty paling oke yang pernah kami coba. 
coffee shop kepunyaan mas @efenerr yang juga dikenal sebagai bapak magic indonesia ini emang nggak main-main soal kopi, untuk beansnya mereka selalu kurasi dan rolling ambil dari berbagai roastery di indonesia sebagai bentuk saling support dan terakhir mereka baru aja ganti set mesin kopi dari @wendougee.id pendatang baru udah yang tekenal canggih dan tangguh. grindernya aja cuma butuh 3 detik buat giling 20an gram biji kopi 
nama tempatnya @wombatscoffee yang dalam waktu-waktu terakhir ini ngasih warna baru perkopian di jogja khususnya di daerah wijilan, kalau mungkin umumnya orang tau wijilan buat nyari gudeg enak sekarang mungkin bertambah jadi wijilan buat nyari kopi enak 
wombats coffee wijilan @wombatscoffee 
06 00 - 22 00
jl. wijilan no.24, panembahan, kecamatan kraton, kota yogyakarta
#coffeeshopjogja #jogjacoffeeshop #wombatscoffee",Wombats Coffee Wijilan,06:00 - 22:00,"Jl. Wijilan No.24, Panembahan, Kecamatan Kraton, Kota Yogyakarta",Yogyakarta,"@efenerr, @wendougee.id, @wombatscoffee",06:00,22:00,False,False,['kopi'],[]
"Suka banget sama konsep coffee shop baru di Jogja ini, mereka tu nyulap rumah indis bangunan tua jadi super aesthetic, homey dan comfy. Konsepnya sih kayaknya mengarah ke Japanese Modern Minimalist gitu dengan ornamennya yang nyatu banget sama tempatnya.

Selain itu menu-menu beverages yang kami coba enak semua! Mereka juga ada jajan pasar ya!

Udah pada kesini?

Rakku Coffee @rakkucoffee 
07:00 ——— 24:00
Jl. F.M. Noto No.17, Kotabaru, Kec. Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta

#coffeeshopjogja #jogjacoffeeshop #coffeeshopbarujogja","suka banget sama konsep coffee shop baru di jogja ini, mereka tu nyulap rumah indis bangunan tua jadi super aesthetic, homey dan comfy. konsepnya sih kayaknya mengarah ke japanese modern minimalist gitu dengan ornamennya yang nyatu banget sama tempatnya.
selain itu menu-menu beverages yang kami coba enak semua mereka juga ada jajan pasar ya 
udah pada kesini 
rakku coffee @rakkucoffee 
07 00 - 24 00
jl. f.m. noto no.17, kotabaru, kec. gondokusuman, kota yogyakarta, daerah istimewa yogyakarta
#coffeeshopjogja #jogjacoffeeshop #coffeeshopbarujogja",Rakku Coffee,07:00 - 24:00,"Jl. F.M. Noto No.17, Kotabaru, Kec. Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta",Yogyakarta,@rakkucoffee,07:00,23:59,False,False,['makanan'],[]
"Siapa yang baru tau kalau di deket Sanata Dharma ada cake shop secakep & selucu ini? ✨😍

Nama tempatnya @cheesecake.expert, buat yang belum tau ini tu brand cake shop yang udah cukup lama ada di Jogja dan udah ada beberapa cabang, selain di Jogja mereka juga ada cabang lain di Semarang & Jakarta.

Nah yang di deket Sanata Dharma ini mereka belum lama renov dan akan reopening tanggal 14 Januari nanti. Oh iya buat kalian yang mau beli bunga juga bisa ya, karena ada florist juga di satu tempat yang sama.

Menunya sangat-sangat tempting! Kemarin nyobain Nutella Cheese and Crepe Combo Drink (ini memu bundle gitu udah dapet cake di atas minumnya, unik banget), terus ada Japanese Matcha Burnt Cheesecake yang nagih dan terakhir nyobain Lychee n Vanilla Mix n Cheese yang super moist.

Kalau lagi suka atau cari yang manis-manis buruan kesini! Mana cakep banget tempatnya ❤️

Cheesecake Expert @cheesecake.expert
09:00 ——— 21:00
Jl. STM Pembangunan No.4, Santren, Caturtunggal, Sleman, Yogyakarta (outlet Gejayan)","siapa yang baru tau kalau di deket sanata dharma ada cake shop secakep selucu ini 
nama tempatnya @cheesecake.expert, buat yang belum tau ini tu brand cake shop yang udah cukup lama ada di jogja dan udah ada beberapa cabang, selain di jogja mereka juga ada cabang lain di semarang jakarta.
nah yang di deket sanata dharma ini mereka belum lama renov dan akan reopening tanggal 14 januari nanti. oh iya buat kalian yang mau beli bunga juga bisa ya, karena ada florist juga di satu tempat yang sama.
menunya sangat-sangat tempting kemarin nyobain nutella cheese and crepe combo drink ini memu bundle gitu udah dapet cake di atas minumnya, unik banget , terus ada japanese matcha burnt cheesecake yang nagih dan terakhir nyobain lychee n vanilla mix n cheese yang super moist.
kalau lagi suka atau cari yang manis-manis buruan kesini mana cakep banget tempatnya 
cheesecake expert @cheesecake.expert
09 00 - 21 00
jl. stm pembangunan no.4, santren, caturtunggal, sleman, yogyakarta outlet gejayan",Cheesecake Expert,09:00 - 21:00,"Jl. STM Pembangunan No.4, Santren, Caturtunggal, Sleman, Yogyakarta (outlet Gejayan)",Sleman,@cheesecake.expert,09:00,21:00,False,False,['dessert'],[]
"Kalau kalian lagi di area Malioboro atau yang baru sampai di stasiun tugu dan pengen ngopi + makan pastry enak coffee shop baru satu ini bisa kalian coba ya!

Kemarin kami singgah sebentar dan nyobain beberapa menunya, mulai dari hot cappucino, matcha series dan es kopi susunya menarik! Apalagi pas nyobain cheese twist pastrynya, beneran bikin pengen lagi sampai sekarang, ini tu bukan tipical pastry yang umum dijumpai di coffee shop Jogja, lebih crunchy dan nggak bikin eneg! 

Tempatnya ngga begitu luas tapi cukup nyaman buat sekedar singgah, ngelarin kerjaan bentar atau ya sekedar ngopi aja.

8 Degree Coffee Malioboro
09:00 ——— 22:00
Jl. Gandekan Lor, Gedong Tengen, Yogyakarta

#coffeeshopjogja #jogjacoffeeshop #coffeeshopbarujogja","kalau kalian lagi di area malioboro atau yang baru sampai di stasiun tugu dan pengen ngopi makan pastry enak coffee shop baru satu ini bisa kalian coba ya 
kemarin kami singgah sebentar dan nyobain beberapa menunya, mulai dari hot cappucino, matcha series dan es kopi susunya menarik apalagi pas nyobain cheese twist pastrynya, beneran bikin pengen lagi sampai sekarang, ini tu bukan tipical pastry yang umum dijumpai di coffee shop jogja, lebih crunchy dan nggak bikin eneg 
tempatnya ngga begitu luas tapi cukup nyaman buat sekedar singgah, ngelarin kerjaan bentar atau ya sekedar ngopi aja.
8 degree coffee malioboro
09 00 - 22 00
jl. gandekan lor, gedong tengen, yogyakarta
#coffeeshopjogja #jogjacoffeeshop #coffeeshopbarujogja",8 Degree Coffee Malioboro,09:00 - 22:00,"Jl. Gandekan Lor, Gedong Tengen, Yogyakarta",Yogyakarta,,09:00,22:00,False,False,"['kopi', 'makanan', 'dessert']",['wfc']
"Seruu banget ngopi pagi, ngemil jajan pasar sambil enjoy vibe khasnya Jl. P. Mangkubumi!

Seriusan asik banget cabang terbarunya Cosan satu ini. Selain bawa bar tap pertama di Jogja ada juga jajan pasar by @tokomono_ yang ternyata cocok-cocok aja dipairing sama kopi.

Cek detailnya di carousel post ya! Oh iya btw ini beda lagi ya sama yang Cosan Reserve 🙌🏻

Cosan Malioboro @cosan.idn
07:00 ——— 03:00
Jl. P. Mangkubumi, Yogyakarta 

#PartnerInEveryMoment  #SelaluCOSAN #TokoMono 
#coffeeshopjogja jogjacoffeeshop","seruu banget ngopi pagi, ngemil jajan pasar sambil enjoy vibe khasnya jl. p. mangkubumi 
seriusan asik banget cabang terbarunya cosan satu ini. selain bawa bar tap pertama di jogja ada juga jajan pasar by @tokomono yang ternyata cocok-cocok aja dipairing sama kopi.
cek detailnya di carousel post ya oh iya btw ini beda lagi ya sama yang cosan reserve 
cosan malioboro @cosan.idn
07 00 - 03 00
jl. p. mangkubumi, yogyakarta 
#partnerineverymoment #selalucosan #tokomono 
#coffeeshopjogja jogjacoffeeshop",Cosan Malioboro,07:00 - 03:00,"Jl. P. Mangkubumi, Yogyakarta",Yogyakarta,"@cosan.idn, @tokomono_",07:00,03:00,False,True,['kopi'],[]
